OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.079,40.895363,-74.711151
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.899,,
46,PETRO STOPPING CENTER #348,"I-85, EXIT 22 & CR-138",Shorter,AL,720,3.154,28.5674837,77.1320385
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959,,
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.269,,-83.542041
121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,930,3.474,,
159,PILOT TRAVEL CENTER #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,30.207435,-91.824932
164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station,IN,365,3.809,,
207,MARATHON,SR-32,Sardinia,OH,300,3.56566666,48.8085,12.538542
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville,MD,165,3.899,,
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls,MT,815,3.63566666,40.350135,-111.989763
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,465,3.559,28.4661907,77.0552811
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,357,3.399,40.792689,-80.680306
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,553,3.229,,
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,336,3.25566666,,
